,Type,DCLX009B,DCLX009C,DCLX003C,DCLX004A,DCLX005C,DCLX005D,DCLX007B,DCLX007C,DCLX011A,DCLX011B,DCLX008C,DCLX009A,DCLX003A,DCLX003B,DCLX004B,DCLX004C,DCLX005E,DCLX007A,DCLX008A,DCLX008B,DCLX012A,DCLX012B,DCLX003F,DCLX003G,DCLX008E,DCLX009D,DCLX005A,DCLX005B,DCLX006B,DCLX006C,DCLX010A,DCLX010B,DCLX012C,DCLX012D,DCLX003D,DCLX003E,DCLX007E,DCLX008D,DCLX004D,DCLX004E,DCLX006A,DCLX006D,DCLX007D,DCLX009E,DCLX010C,DCLX010D,DCLX011C,DCLX011D
Acremonium_persicinum_MAG|g4137.t1,NRPS,0.106932671,0.089050433,0.055342686,0.124429555,0,0.109461349,0.02593299,0.312530902,0.039016595,0.518139656,0.141312034,0.107543201,0.078328809,0,0.061687896,0.242641435,0.154560436,0.1080334,0.150016392,0.075803775,0,0.146784424,1.711141835,2.57508422,2.099842083,0.834464939,0.111784309,0.203580816,0.070439598,0.297445667,0.249113576,0.194812002,0.032833735,0.037584009,0.541492457,0.781126167,4.23343143,0.622196626,8.278047004,3.19642239,0.482207651,0.202395909,0.317383466,0.155615675,0.071896027,0.221395344,0.12732339,0.103591563
Acremonium_persicinum_MAG|g3372.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099661464,0.236331764,0.163067205,0.180519722,0,0.034253815,0,0,0,0.028658018,0,0,0,0,0.235688411,0.058887385,0.417366653,0,0.083262435,0.019654355,0.099523057,0.023565027,0,0,0,0.026144945
Acremonium_persicinum_MAG|g1518.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105638007,0.187878158,0.086423045,0.167427057,0,0.036307962,0,0,0,0,0,0,0.144860072,0.179114474,0.149893366,0.031209385,0.530874575,0.233210994,0,0,0.04219652,0,0,0,0.051092334,0.055425634
Acremonium_persicinum_MAG|g714.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013682562,0,0,0,0,0,0.333861764,0,0.034141772,0.226775088,0,0.043030821,0,0,0,0,0,0.00766314,0,0.106139843,0.039477319,0,0.535961694,0.073704755,0.046487616,0.032920637,0.133359242,0.019735465,0,0,0.020184232,0.02189612
Acremonium_persicinum_MAG|g3647.t1,NRPS,0,0,0,0.022790694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34123679,1.820678223,0.558335459,0.347676844,0,0.205246413,0,0.019996836,0,0,0,0.031329676,1.403801175,1.374136726,3.550745035,0.252035007,6.907057595,5.1979699,0.285087181,0.033647856,0.034076289,0.040342846,0,0,0.082520413,0.089519227
Acremonium_persicinum3_2854|g700.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinum3_2854|g3431.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinumA3_2857|g13153.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinum_MAG|g5861.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072071564,0.022089683,0,0,0,0,0,0,4.152124909,4.998118481,4.367412836,1.253477527,0.013748868,0.09060904,0.152836179,0,0.046775223,0.03790345,0,0.024204154,1.400844915,1.704159302,6.902139683,0.907304008,12.85865821,7.009131027,0.734159527,0.207960753,0.30274999,0.10908589,0.067930373,0.043319696,0.159380581,0.051869444
Acremonium_persicinum_MAG|g350.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607312049,1.584161354,1.043375318,0.467517875,0.012669194,0.166987346,0,0.028471302,0.028734699,0.034926959,0,0,0.166559877,1.441618737,2.87245251,0.251191503,4.103235907,2.306052372,0.270602913,0.047907491,0.121293726,0.028719877,0.033172189,0.039917877,0.117491766,0.127456609
