,Metagenome_count,Metatrans_count,Pangenome,A. persicinum_MAG,A. persicinum3.15288,A. persicinum3.1556,A. persicinum3.1579,A. persicinum3.2854,A. persicinum3.3503,A. persicinum3.2857,A. persicinum3.2858,A. persicinum3.2859,A. persicinum3.2862
C565,52,25,1,1,1,1,1,1,1,1,1,1,1
C566,156,117,1,1,1,1,1,1,1,1,1,1,1
C567,93,144,1,1,1,1,1,1,1,1,1,1,1
C568,97,243,1,1,1,1,1,1,1,1,1,1,1
C570,157.597,5518.662,1,1,1,1,1,1,1,1,1,1,1
C572,202,751,1,1,1,1,1,1,1,1,1,1,1
C573,72,13,1,1,1,1,1,1,1,1,1,1,1
C575,91.89,1008.616,1,1,1,1,1,1,1,1,1,1,1
C576,25,17,1,1,1,1,1,1,1,1,1,1,1
C577,142,622,1,1,1,1,1,1,1,1,1,1,1
C578,45,19,1,1,1,1,1,1,1,1,1,1,1
C579,107,81,1,1,1,1,1,1,1,1,1,1,1
C581,107.495,201,1,1,1,1,1,1,1,1,1,1,1
C582,41,108,1,1,1,1,1,1,1,1,1,1,1
C583,22,45,1,1,1,1,1,1,1,1,1,1,1
C584,74,6,1,1,1,1,1,1,1,1,1,1,1
C585,70,3,1,1,1,1,1,1,1,1,1,1,1
C586,98,227,1,1,1,1,1,1,1,1,1,1,1
C588,163.756,112.239,1,1,1,1,1,1,1,1,1,1,1
C589,153,251.087,1,1,1,1,1,1,1,1,1,1,1
C590,140,598,1,1,1,1,1,1,1,1,1,1,1
C591,48,14,1,1,1,1,1,1,1,1,1,1,1
C592,121,209,1,1,1,1,1,1,1,1,1,1,1
C593,55,2,1,1,1,1,1,1,1,1,1,1,1
C595,148.476,114.097,1,1,1,1,1,1,1,1,1,1,1
C596,30,23,1,1,1,1,1,1,1,1,1,1,1
C597,162,834,1,1,1,1,1,1,1,1,1,1,1
C599,38,884,1,1,1,1,1,1,1,1,1,1,1
C600,187,176,1,1,1,1,1,1,1,1,1,1,1
C601,119,120,1,1,1,1,1,1,1,1,1,1,1
C602,42,48,1,1,1,1,1,1,1,1,1,1,1
C605,89.142,1855.531,1,1,1,1,1,1,1,1,1,1,1
C606,65,153,1,1,1,1,1,1,1,1,1,1,1
C607,190,277,1,1,1,1,1,1,1,1,1,1,1
C608,25,590,1,1,1,1,1,1,1,1,1,1,1
C610,25,40,1,1,1,1,1,1,1,1,1,1,1
C611,80,340.802,1,1,1,1,1,1,1,1,1,1,1
C612,51,138,1,1,1,1,1,1,1,1,1,1,1
C613,41,141,1,1,1,1,1,1,1,1,1,1,1
C616,169,131,1,1,1,1,1,1,1,1,1,1,1
C618,55,4,1,1,1,1,1,1,1,1,1,1,1
C619,80,413,1,1,1,1,1,1,1,1,1,1,1
C621,54,20,1,1,1,1,1,1,1,1,1,1,1
C622,16,30,1,1,1,1,1,1,1,1,1,1,1
C623,35,56,1,1,1,1,1,1,1,1,1,1,1
C624,15,12,1,1,1,1,1,1,1,1,1,1,1
C625,66,63,1,1,1,1,1,1,1,1,1,1,1
C626,72,17,1,1,1,1,1,1,1,1,1,1,1
C628,53,23,1,1,1,1,1,1,1,1,1,1,1
C629,176,158,1,1,1,1,1,1,1,1,1,1,1
C630,768,687.997,1,1,1,1,1,1,1,1,1,1,1
C631,55,75,1,1,1,1,1,1,1,1,1,1,1
C632,143,61,1,1,1,1,1,1,1,1,1,1,1
C633,90,73,1,1,1,1,1,1,1,1,1,1,1
C635,68,39,1,1,1,1,1,1,1,1,1,1,1
C636,67,244,1,1,1,1,1,1,1,1,1,1,1
C637,61,35,1,1,1,1,1,1,1,1,1,1,1
C638,191,733,1,1,1,1,1,1,1,1,1,1,1
C639,119,318,1,1,1,1,1,1,1,1,1,1,1
C640,228,629,1,1,1,1,1,1,1,1,1,1,1
C641,52,71,1,1,1,1,1,1,1,1,1,1,1
C643,27.303,1980.1,1,1,1,1,1,1,1,1,1,1,1
C644,52,792,1,1,1,1,1,1,1,1,1,1,1
C645,17,49,1,1,1,1,1,1,1,1,1,1,1
C646,186.924,122,1,1,1,1,1,1,1,1,1,1,1
C648,70,324,1,1,1,1,1,1,1,1,1,1,1
C650,98.745,605.192,1,1,1,1,1,1,1,1,1,1,1
C652,11,57,1,1,1,1,1,1,1,1,1,1,1
C653,107,155,1,1,1,1,1,1,1,1,1,1,1
C654,223,824.519,1,1,1,1,1,1,1,1,1,1,1
C655,114,268,1,1,1,1,1,1,1,1,1,1,1
C656,190,1160,1,1,1,1,1,1,1,1,1,1,1
C657,29,696.982,1,1,1,1,1,1,1,1,1,1,1
C658,151,200,1,1,1,1,1,1,1,1,1,1,1
C659,123,103.472,1,1,1,1,1,1,1,1,1,1,1
C660,78.176,415.562,1,1,1,1,1,1,1,1,1,1,1
C661,59,179,1,1,1,1,1,1,1,1,1,1,1
C662,26,455,1,1,1,1,1,1,1,1,1,1,1
C663,61,36,1,1,1,1,1,1,1,1,1,1,1
C664,68,1,1,1,1,1,1,1,1,1,1,1,1
C665,105,60,1,1,1,1,1,1,1,1,1,1,1
